Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29079207380,"Áo Chống Nắng Toàn Thân Nữ 2 Lớp Chất Umi HànUvt 50++ Dáng Đẹp chống nắng ,tia uv","121,3k",20k+,HaMa Clothings,16%,₫19.416,https://shopee.vn/product/1494926488/29079207380,https://s.shopee.vn/AUqPqAqeqn
28979168239,"Áo Chống Nắng Cho Bé in Hình Baby Three,Dáng Cánh Dơi Vải Thun Lạnh Chống Tia UV","75,0k",3k+,Nutriboost93,12%,₫9.000,https://shopee.vn/product/99939683/28979168239,https://s.shopee.vn/9zu9FFsYri
26218384347,"Áo Chống Nắng Nam MENTORIS, Chất Vải Thun Lạnh, Chống Tia UV, Thoáng Mát, Thấm Hút Mồ Hôi MCN01S","299,0k",80k+,Mentoris,14%,₫41.860,https://shopee.vn/product/159838421/26218384347,https://s.shopee.vn/AADZRYrvWl
24325346677,Áo gia đình HappyFamily - Đồ gia đình Chữ Love Trái Tim Nét Vẽ Chất Cotton 100 co giãn 4 chiều,"119,0k",1k+,HappyFamily Uniform,27%,₫32.130,https://shopee.vn/product/903729430/24325346677,https://s.shopee.vn/9fHIqdtpXg
43429087492,Áo Chống Nắng Toàn Thân Nữ 2 LỚP Dáng Dài chiết eo tôn dáng Có Mũ Rộng Vành Chống Tia UV Chất Thun Lạnh Mềm Mịn loại 1,"169,0k",10k+,FUDO HOUSE,10%,₫16.900,https://shopee.vn/product/1038702797/43429087492,https://s.shopee.vn/9paj2wtCCj
44022459878,"COMBO 3 Khẩu Trang Chống Tia UV, Khẩu Trang Chống Nắng, Dùng cho cả Nam và Nữ [NgocAnh98]","25,0k",7k+,Ngọc Anh Ngọc Ánh,15%,₫3.750,https://shopee.vn/product/1630684409/44022459878,https://s.shopee.vn/9KeSS1v6De
24976294182,Chân váy lụa đuôi cá màu basic dáng dài chất mềm mịn sang chảnh thanh lịch SELYY CV202,"75,0k",2k+,SELYYMALL,22%,₫16.500,https://shopee.vn/product/1044843692/24976294182,https://s.shopee.vn/9UxseKuSsh
28583968094,"Set 3 món áo thun ôm body BAP STUDIO chất liệu cotton mềm mịn, kèm chân váy xếp ly và khăn quàng CB01","206,1k",50k+,BAP.STUDIO,17%,₫35.037,https://shopee.vn/product/973603986/28583968094,https://s.shopee.vn/6L0qsW6WJ6
22868208515,"Áo Chống Nắng Nữ Thun Lạnh CHỐNG TIA UV HÀNG LOẠI 1, Áo Nắng Ngắn, Áo Khoác Nắng CHỐNG TIA UV FREESIZE Từ 40-60KG","135,0k",30k+,Nanashop2711,9%,₫12.150,https://shopee.vn/product/14188404/22868208515,https://s.shopee.vn/6VKH4p5sy9
27159248447,Quần bò jean ống xuông ống rộng Hari đủ màu Cá Tính,"171,5k",50k+,HARI.CLOTHES,10%,₫17.150,https://shopee.vn/product/37386512/27159248447,https://s.shopee.vn/60O0Tu7mz4
29836563154,"Chiếu Điều Hòa Mây Lạnh, Chiếu Mây Cao Cấp Nằm Mát Ngày Hè","105,0k",241,Quang Hải Gia Dụng,16%,₫16.800,https://shopee.vn/product/294550678/29836563154,https://s.shopee.vn/6AhQgD79e7
18792149227,Set đồ bộ đùi thun cotton mặc nhà-NEW,"79,0k",6k+,TRANG KIM SHOP,16%,₫12.640,https://shopee.vn/product/62557306/18792149227,https://s.shopee.vn/5flA5I93f2
24669290909,Áo Chống Nắng Nữ Croptop Cánh Dơi  Sermala Chống Tia Cực Tím UPF 50+ Chống Tia UV Chất Liệu Thoáng Mát Thông Hơi N,"83,0k",60k+,Sermala_Lady,15%,₫12.450,https://shopee.vn/product/537770278/24669290909,https://s.shopee.vn/5q4aHb8QK5
24573106748,Chân Váy Kaki Dáng Ngắn Có Lót Trong BigSize Hannako - fashion Chân Váy Kaki Cạp Khuy BigSize 127,"86,1k",20k+,Hannako-Fashion,22%,₫18.942,https://shopee.vn/product/1228901222/24573106748,https://s.shopee.vn/5L8JggAKL0
8929441063,"Quần Đùi Nam GUZADO Vải Gió Thể Thao Cạp Chun Mềm Mại,Co Giãn Vận Động Thoải Mái Màu Basic GSR01","109,0k",400k+,Guzado Official,15%,₫16.350,https://shopee.vn/product/201774917/8929441063,https://s.shopee.vn/5VRjsz9h03
26337641149,"Quạt cầm tay mini làm mát bằng bán dẫn, có chức năng chườm lạnh, sạc USB tiện lợi Quạt mini sò lạnh turbo quạt","39,1k",9k+,Obear Home Store,28%,₫10.960,https://shopee.vn/product/1562517796/26337641149,https://s.shopee.vn/7fWESy1RbU
26285139009,SET Bộ Quần Áo Nữ MINMIN NAD Unisex - Đồ Bộ Thể Thao Nữ Chất Cotton tổ ong Mặc Đi Chơi Du Lịch Ullzang,"179,0k",6k+,NAD - Unisex,11%,₫19.690,https://shopee.vn/product/933190367/26285139009,https://s.shopee.vn/7ppefH0oGX
24767582513,Quần Jean Nữ MIAA ỐNG RỘNG cạp cao Màu Xanh Trắng Wash Đen dáng dài chất bò RIN mềm denim BIGSIZE,"175,0k",40k+,Tdshopnt,14%,₫24.500,https://shopee.vn/product/66495466/24767582513,https://s.shopee.vn/7KtO4M2iHS
24390703631,QUẦN SHORT KAKI QUẦN ĐÙI NAM GIÓ MEN&BASIC Cạp Nửa Chun Dáng Trẻ Trung Vải Mềm Mại Thoáng Mát Dãn,"87,2k",20k+,MEN&BASIC,17%,₫14.827,https://shopee.vn/product/1196293736/24390703631,https://s.shopee.vn/7VCoGf24wV
29155800986,Nước giặt Hygiene Expert Wash Thái Lan 1800ml siêu sạch siêu thơm hương nước hoa,"109,0k",300k+,Wash & Care,16%,₫17.440,https://shopee.vn/product/717154345/29155800986,https://s.shopee.vn/70GXfk3yxQ
47450299293,"Mũ Trùm Phối Tai Mèo Chống Nắng Mưa, Nón Chống Nắng Đa Năng Có Thể Làm Túi Đeo Chéo HL BOUTIQUE N969","45,0k",2k+,H&L BOUTIQUE.VN,19%,₫8.550,https://shopee.vn/product/379851800/47450299293,https://s.shopee.vn/7AZxs33LcT
44750744041,Quần NỮ ỐNG Suông Form Dáng Thụng Chất KaKi jean mềm,"160,7k",3k+,Xưởng may quần jean nữ.,17%,₫27.311,https://shopee.vn/product/826851762/44750744041,https://s.shopee.vn/6fdhH85FdO
24869498598,Set bikini len sợi full 3 món đi biển du lịch bra ziczac-chân váy dài và khoác lưới tay loe mặc đi biển du lịch,"95,0k",688,HONNIE HOUSE_BIKINI STORE,9%,₫8.550,https://shopee.vn/product/75043832/24869498598,https://s.shopee.vn/6px7TR4cIR
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","129,0k",1tr+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/3qJVtvG2Ns
47206494653,Áo Chống Nắng Nam GUZADO Chất Liệu Coolmax Thoáng Mát Thấm Hút Chống Nóng Chống UV Tốt GCN02,"285,0k",10k+,GUZADO MENSWEAR,15%,₫42.750,https://shopee.vn/product/1585088865/47206494653,https://s.shopee.vn/3g05hcGfir
42508873190,"Dây buộc tóc hoa Tulip, Buộc Tóc Xốp bản lớn hoa 5 cách Hàn Quốc SC5CDAY","9,8k",1k+,GENCI ACCESSORIES,29%,₫2.828,https://shopee.vn/product/530882483/42508873190,https://s.shopee.vn/3VgfVJHJ3q
40454138236,Set Bikini set đi biển 3 món Áo quây Bra Caro Phối QUẦN ĐÙI BÍ xếp li kẻ sọc_lanbishop LB33,"189,0k",2k+,Lanbishop official store,12%,₫22.680,https://shopee.vn/product/730561461/40454138236,https://s.shopee.vn/3LNFJ0HwOp
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","65,0k",1tr+,TopGia HCM,14%,₫9.100,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/3B3p6hIZjo
27715797598,Quần Tây Suông Ống Rộng (Chất Gold Nhật) Phối Ly Lệch Lưng Cao Siêu Tôn Dáng,"150,5k",30k+,Mi.A STORE_VN,16%,₫24.080,https://shopee.vn/product/950834169/27715797598,https://s.shopee.vn/30kOuOJD4n
25429503776,Jumpsuit nữ bikini liền thân phối bèo ôm body phong cách sexy che khuyết điểm,"137,0k",3k+,Mây Shop 89,12%,₫16.440,https://shopee.vn/product/1147107957/25429503776,https://s.shopee.vn/2qQyi5JqPm
26651081830,"(8kg-95kg ) , Đồ Đi Biển Và Du Lịch Cho Cả Gia Đình 2025,Đội Nhóm chất  Đũi Hàn","79,8k",10k+,Quynhanhshop.vn,15%,₫11.970,https://shopee.vn/product/744082313/26651081830,https://s.shopee.vn/2g7YVmKTkl
28621090228,Thùng Rác Treo Tường Có Nắp Đậy Thông Minh JYoohome Thùng Rác Treo Tủ Bếp Phòng Vệ Sinh Dán Tường,"92,0k",4k+,Tokoni - Nhà Đẹp Chuẩn Gu,16%,₫14.720,https://shopee.vn/product/895809787/28621090228,https://s.shopee.vn/5AotUNAxgG
50302776293,Đầm ren dự tiệc cột dây cổ yếm sang trọng quý phái Edna Dress,"249,0k",102,BlueShop109,17%,₫42.330,https://shopee.vn/product/16277963/50302776293,https://s.shopee.vn/50VTI4Bb1F
56056896655,"(Mekembean) Bộ pijama cộc tay bé gái bánh bèo siuuu yêu bé gái , bộ pijama bé gái cộc tay , bộ pijama bé gái mùa hè","109,7k",187,Kem Bean Kids,15%,₫16.461,https://shopee.vn/product/1354039397/56056896655,https://s.shopee.vn/4qC35lCEME
23960385553,Set áo tơ bèo hở vai kèm chân váy xòe 2 tầng Dilyshop chất tơ óng mềm mại nhẹ nhàng thoáng mát - S110,"199,0k",50k+,Dilyshop.vn,15%,₫29.850,https://shopee.vn/product/70231816/23960385553,https://s.shopee.vn/4fsctSCrhD
29080262459,"Nước Giặt Topgia Hương Hoa Nắng, Đắm Say 1L Dịu Nhẹ An Toàn Cho Da Đánh Bay Vết Bẩn Lưu Hương 72H","139,0k",6k+,TopGia HN,14%,₫19.460,https://shopee.vn/product/502146001/29080262459,https://s.shopee.vn/4VZCh9DV2C
17795352668,Bộ Đồ Bơi Cho Bé Trai Size Đại 10Kg - 68Kg - Đồ Bơi Gia Đình - Bộ Bơi Nam - Bộ Bơi Trẻ Em Mặc Hè BLAST,"170,1k",10k+,Sóc Store - Thời trang cho bé,17%,₫28.917,https://shopee.vn/product/266780154/17795352668,https://s.shopee.vn/4LFmUqE8NB
9954475092,"Bikini 1 mảnh cho bé gái 8-30kg_Đồ bơi cho bé gái dài tay chống nắng, đồ bơi bé gái liền thân","79,0k",4k+,XƯỞNG MAY THỜI TRANG TUKI,11%,₫8.690,https://shopee.vn/product/411064394/9954475092,https://s.shopee.vn/4AwMIXEliA
27331726936,"Áo Chống Nắng Labubu Cánh Dơi Cho Bé – Chất Thun Lạnh Mát, Chống Nắng UV Bé Trai Bé Gái 6-40kg #MT3","18,5k",528,Mặt Trời Vui Vẻ,17%,₫3.137,https://shopee.vn/product/1260943014/27331726936,https://s.shopee.vn/40cw6EFP39
26329264608,"Gang tay nữ chống nắng , chống tia uv vải lụa lạnh bo viền UPF50+","79,0k",70k+,SOLCARE VN,14%,₫11.060,https://shopee.vn/product/39465856/26329264608,https://s.shopee.vn/1BIkj1QBnc
